Iteration;idlv_isd;isd_clasp;isd_wasp;idlv+clasp_isd;idlv+wasp_isd;idlv_isd_tot;clasp_isd_tot;wasp_isd_tot;idlv+clasp_isd_tot;idlv+wasp_isd_tot;idlv_noisd;noisd_clasp;noisd_wasp;idlv+clasp_noisd;idlv+wasp_noisd;idlv_noisd_tot;clasp_noisd_tot;wasp_noisd_tot;idlv+clasp_noisd_tot;idlv+wasp_noisd_tot;isd_vmrss_;noisd_vmrss_;isd_file_size;noisd_file_size;ticker_incr;ticker_clingo
49;0.001029;0.008939027786254883;0.011319160461425781;0.00996802778625488;0.0123481604614258;0.065638;0.265163898468018;0.518750190734863;0.330801898468017;0.584388190734863;0.001008;0.010329723358154297;0.018162965774536133;0.0113377233581543;0.0191709657745361;0.064446;0.312440633773804;0.740969657897949;0.376886633773804;0.805415657897949;8664;7868;83;102;5.585979192;38.449472103
50;0.001023;0.0060422420501708984;0.012458562850952148;0.0070652420501709;0.0134815628509521;0.066661;0.271206140518188;0.531208753585815;0.337867140518188;0.597869753585815;0.00099;0.006342649459838867;0.014894247055053711;0.00733264945983887;0.0158842470550537;0.065436;0.318783283233643;0.755863904953003;0.384219283233643;0.821299904953003;8664;7868;83;102;5.60541364;39.393796311
51;0.001026;0.004676103591918945;0.014718055725097656;0.00570210359191895;0.0157440557250977;0.067687;0.275882244110107;0.545926809310913;0.343569244110107;0.613613809310913;0.00098;0.00745081901550293;0.021037817001342773;0.00843081901550293;0.0220178170013428;0.066416;0.326234102249146;0.776901721954346;0.392650102249145;0.843317721954346;8664;7868;83;102;5.616536185;40.291450193
52;0.000976;0.004751443862915039;0.012760639190673828;0.00572744386291504;0.0137366391906738;0.068663;0.280633687973022;0.558687448501587;0.349296687973022;0.627350448501587;0.001014;0.0062847137451171875;0.01519775390625;0.00729871374511719;0.01621175390625;0.06743;0.332518815994263;0.792099475860596;0.399948815994263;0.859529475860596;8664;7868;83;102;5.636583487;41.170987831
53;0.001051;0.005875587463378906;0.011341333389282227;0.00692658746337891;0.0123923333892822;0.069714;0.286509275436401;0.570028781890869;0.356223275436401;0.639742781890869;0.000993;0.0062754154205322266;0.014744997024536133;0.00726841542053223;0.0157379970245361;0.068423;0.338794231414795;0.806844472885132;0.407217231414795;0.875267472885132;8664;7868;83;103;5.646515603;42.049173037
54;0.001021;0.005994558334350586;0.013835430145263672;0.00701555833435059;0.0148564301452637;0.070735;0.292503833770752;0.583864212036133;0.363238833770752;0.654599212036133;0.001022;0.006381988525390625;0.015228271484375;0.00740398852539063;0.016250271484375;0.069445;0.345176219940186;0.822072744369507;0.414621219940186;0.891517744369507;8664;7868;83;103;5.66298675;42.922535417
55;0.001;0.005944967269897461;0.011668682098388672;0.00694496726989746;0.0126686820983887;0.071735;0.298448801040649;0.595532894134521;0.370183801040649;0.667267894134521;0.001009;0.0051174163818359375;0.014514923095703125;0.00612641638183594;0.0155239230957031;0.070454;0.350293636322021;0.83658766746521;0.420747636322022;0.90704166746521;8664;7868;84;103;5.674817035;43.803854889
56;0.000999;0.004949092864990234;0.013141632080078125;0.00594809286499023;0.0141406320800781;0.072734;0.30339789390564;0.6086745262146;0.37613189390564;0.6814085262146;0.000998;0.006430864334106445;0.017555952072143555;0.00742886433410645;0.0185539520721436;0.071452;0.356724500656128;0.854143619537354;0.428176500656128;0.925595619537354;8664;7868;84;103;5.684337869;44.67925295
57;0.001025;0.00478816032409668;0.013002395629882812;0.00581316032409668;0.0140273956298828;0.073759;0.308186054229736;0.621676921844482;0.381945054229736;0.695435921844482;0.000992;0.005196809768676758;0.017135143280029297;0.00618880976867676;0.0181271432800293;0.072444;0.361921310424805;0.871278762817383;0.434365310424805;0.943722762817383;8664;7868;84;103;5.693116988;45.559608283
58;0.001009;0.004751682281494141;0.01306605339050293;0.00576068228149414;0.0140750533905029;0.074768;0.31293773651123;0.634742975234985;0.38770573651123;0.709510975234985;0.000998;0.005301713943481445;0.01760077476501465;0.00629971394348145;0.0185987747650146;0.073442;0.367223024368286;0.888879537582397;0.440665024368286;0.962321537582397;8664;7868;84;103;5.715052362;46.491343154
59;0.001003;0.006722927093505859;0.011425018310546875;0.00772592709350586;0.0124280183105469;0.075771;0.319660663604736;0.646167993545532;0.395431663604736;0.721938993545532;0.000993;0.005213260650634766;0.018537282943725586;0.00620626065063477;0.0195302829437256;0.074435;0.372436285018921;0.907416820526123;0.446871285018921;0.981851820526123;8664;7868;84;103;5.734344093;47.36371273
60;0.000999;0.006165981292724609;0.01324462890625;0.00716498129272461;0.01424362890625;0.07677;0.325826644897461;0.659412622451782;0.402596644897461;0.736182622451782;0.001015;0.0064868927001953125;0.017055988311767578;0.00750189270019531;0.0180709883117676;0.07545;0.378923177719116;0.924472808837891;0.454373177719116;0.999922808837891;8664;7868;84;104;5.751603171;48.246428727
61;0.001068;0.004671812057495117;0.012856245040893555;0.00573981205749512;0.0139242450408936;0.077838;0.330498456954956;0.672268867492676;0.408336456954956;0.750106867492676;0.001008;0.007130622863769531;0.019939661026000977;0.00813862286376953;0.020947661026001;0.076458;0.386053800582886;0.944412469863892;0.462511800582886;1.02087046986389;8664;7868;84;104;5.759697234;49.179245414
